iter	RMSE
0	0.866170042
1	0.8494388767
2	0.8373561578
3	0.8267386611
4	0.8161321331
5	0.8069674444
6	0.8008794804
7	0.7920295345
8	0.7831202921
9	0.776813506
10	0.7706120833
11	0.7658619227
12	0.759196197
13	0.754474599
14	0.7498392727
15	0.7454370638
16	0.7421403052
17	0.7385537061
18	0.7347993773
19	0.7305752354
20	0.728686974
21	0.7258976564
22	0.7235399921
23	0.7202768232
24	0.7171781249
25	0.7146104842
26	0.7129945488
27	0.7097445041
28	0.707740616
29	0.7062324355
30	0.7043742307
31	0.7033651037
32	0.702074085
33	0.7004798527
34	0.6996453099
35	0.6975653923
36	0.6965491772
37	0.6952501437
38	0.6943399388
39	0.6930710831
40	0.6920967654
41	0.6899109639
42	0.6885247392
43	0.6879373589
44	0.6860199262
45	0.6854933864
46	0.6848348944
47	0.682851218
48	0.6812764177
49	0.6796201661
50	0.6778973769
51	0.6764884173
52	0.6763199993
53	0.6758993718
54	0.675235819
55	0.673823143
56	0.6725760569
57	0.67202817
58	0.6714227096
59	0.6702561857
60	0.6693165369
61	0.6688007807
62	0.668592367
63	0.6676242527
64	0.6665352207
65	0.6658361786
66	0.6644537831
67	0.6639208543
68	0.6633731723
69	0.6626071214
70	0.6621505451
71	0.6612451335
72	0.6606039476
73	0.6593321287
74	0.6584828609
75	0.6574269411
76	0.6565966102
77	0.6562340441
78	0.655811323
79	0.6554051328
80	0.6548573478
81	0.6539990564
82	0.6534592125
83	0.6522755349
84	0.6514964186
85	0.6509018506
86	0.6502879506
87	0.6497764792
88	0.6491051722
89	0.6482278475
90	0.6474872175
91	0.6469890415
92	0.6468231106
93	0.6462973233
94	0.6451459312
95	0.6443932856
96	0.6439522415
97	0.6429715141
98	0.6423968724
99	0.6416154656
100	0.6413401869
101	0.6403494972
102	0.6397636308
103	0.639041176
104	0.6382873341
105	0.6379460995
106	0.6373027393
107	0.6370972377
108	0.6368362102
109	0.6358513879
110	0.6344423198
111	0.634134965
112	0.6336209128
113	0.6329636689
114	0.6323768097
115	0.6321869265
116	0.6316527412
117	0.6299537895
118	0.6292808112
119	0.6289163895
120	0.6280294186
121	0.626832737
122	0.6259018689
123	0.6252933671
124	0.6250556974
125	0.6241171337
126	0.6238304024
127	0.6235952508
128	0.6229930062
129	0.6225938789
130	0.6212861081
131	0.6210803981
132	0.6205180719
133	0.6203658807
134	0.6202428033
135	0.6201962583
136	0.6194256828
137	0.6193146542
138	0.6190999242
139	0.6190256639
140	0.6189663215
141	0.6188366119
142	0.6187110133
143	0.6185944575
144	0.6184838845
145	0.6183363199
146	0.6179327489
147	0.6178116169
148	0.6176491905
149	0.6175347268
150	0.617349884
151	0.6168715341
152	0.6167619468
153	0.6152042294
154	0.6150616531
155	0.6147430561
156	0.614648362
157	0.6145683459
158	0.6141825274
159	0.6137259207
160	0.6136726692
161	0.6135834746
162	0.6126518317
163	0.6125425081
164	0.612478039
165	0.6109482759
166	0.6108837118
167	0.6108406388
168	0.6107577516
169	0.6106948871
170	0.6106516252
171	0.6106074037
172	0.6103666216
173	0.6102936884
174	0.6102529361
175	0.6102115417
176	0.6101726394
177	0.6086729951
178	0.6085966341
179	0.6085321869
180	0.608423812
181	0.6083628059
182	0.6082634807
183	0.607369273
184	0.6073325943
185	0.6061460145
186	0.6060833893
187	0.6060481454
188	0.6060227448
189	0.6049288134
190	0.6029961506
191	0.601723479
192	0.6012148017
193	0.5998143705
194	0.5984708038
195	0.5982568313
196	0.5968374698
197	0.5957571358
198	0.5944791008
199	0.5936981874
200	0.5926796204
201	0.5926173831
202	0.5916062442
203	0.5915485346
204	0.5907485189
205	0.5901824991
206	0.5901316919
207	0.5890370762
208	0.5882487352
209	0.5870352127
210	0.586943513
211	0.5868898942
212	0.5857389828
213	0.5855517546
214	0.5845609619
215	0.583838549
216	0.5826412463
217	0.5819310436
218	0.5807256059
219	0.5794573968
220	0.5789786634
221	0.5780105714
222	0.5775582993
223	0.5767463867
224	0.5762094149
225	0.5760947676
226	0.5753258373
227	0.5752405433
228	0.5752072513
229	0.5745100164
230	0.5740087579
231	0.5727203782
232	0.5720950926
233	0.5712069623
234	0.5703601915
235	0.5702442417
236	0.5695202126
237	0.5694743925
238	0.5687564811
239	0.5684124297
240	0.5677777172
241	0.5667603293
242	0.5658789144
243	0.5655352231
244	0.5647724163
245	0.5637003792
246	0.5628701671
247	0.5624145462
248	0.5620429492
249	0.5604410994
250	0.5597447249
251	0.5585324218
252	0.5583748418
253	0.5576304628
254	0.5569585052
255	0.5556381746
256	0.5543291025
257	0.5536130701
258	0.5531084317
259	0.5523611809
260	0.551856126
261	0.5516016896
262	0.5514557588
263	0.5513594313
264	0.5504926667
265	0.5500117709
266	0.5494394249
267	0.5491570634
268	0.5488612029
269	0.5477661108
270	0.5473572916
271	0.5472639781
272	0.5467282969
273	0.5458891151
274	0.5454925525
275	0.5451919128
276	0.5443835685
277	0.5435170119
278	0.5429692404
279	0.5423567235
280	0.5417635424
281	0.5415526166
282	0.541106053
283	0.5403082633
284	0.539204838
285	0.5381672686
286	0.5373802539
287	0.5367398903
288	0.5363963048
289	0.5357421294
290	0.5352017804
291	0.5346930711
292	0.5342491314
293	0.5340101564
294	0.5339464864
295	0.5331444754
296	0.5325915779
297	0.5318761133
298	0.5312115957
299	0.5306853173
300	0.5301461168
301	0.52918823
302	0.5286259099
303	0.5280126426
304	0.5277572328
305	0.5265547946
306	0.5257950614
307	0.5255889133
308	0.5251075002
309	0.5238980205
310	0.5232604163
311	0.5222140298
312	0.5213904021
313	0.5202778516
314	0.5196464174
315	0.5196153017
316	0.5188942796
317	0.5184251739
318	0.5177455126
319	0.5168052194
320	0.5161916501
321	0.5159640944
322	0.515175654
323	0.5148024493
324	0.5139166166
325	0.5137997308
326	0.5127905049
327	0.5114651165
328	0.5113017486
329	0.5106640054
330	0.5097707889
331	0.5094423392
332	0.5092489074
333	0.5091617848
334	0.5084211978
335	0.5083627805
336	0.5078341195
337	0.5070351444
338	0.5063674492
339	0.5058234991
340	0.5050803986
341	0.5048570909
342	0.5042640126
343	0.5042008349
344	0.5035824564
345	0.5030359554
346	0.5023724703
347	0.5023514539
348	0.5015078318
349	0.501196539
350	0.5004191991
351	0.5002940849
352	0.4995292486
353	0.498851761
354	0.4983971538
355	0.4981088199
356	0.4967065007
357	0.496624407
358	0.4958710912
359	0.4948576371
360	0.494354814
361	0.4941592289
362	0.4932942923
363	0.4929967686
364	0.4921926105
365	0.4920627252
366	0.4914895045
367	0.4913863466
368	0.4907958239
369	0.4901186988
370	0.4900898232
371	0.4893537098
372	0.4889090446
373	0.4886922345
374	0.4886555599
375	0.4876514017
376	0.4869174127
377	0.4863542394
378	0.4860727965
379	0.4859427992
380	0.485900995
381	0.485620704
382	0.4853712671
383	0.4851556897
384	0.4844715456
385	0.4838180108
386	0.4830842623
387	0.4829864366
388	0.4826219467
389	0.4821104368
390	0.4816961796
391	0.4814692187
392	0.4809230441
393	0.4808744977
394	0.4801789454
395	0.4795487226
396	0.479227303
397	0.4785484383
398	0.4781428349
399	0.4781002337
400	0.4776430412
401	0.476763455
402	0.476498611
403	0.4760469133
404	0.4758635625
405	0.4756146533
406	0.4754899299
407	0.4747265361
408	0.4745288805
