iter	Passed	Remaining
0	3	3477
1	5	3069
2	7	2954
3	10	2874
4	12	2827
5	15	2816
6	17	2791
7	19	2771
8	22	2753
9	24	2732
10	26	2717
11	29	2703
12	31	2692
13	33	2692
14	36	2685
15	38	2674
16	40	2667
17	43	2658
18	45	2651
19	47	2608
20	49	2607
21	51	2603
22	54	2606
23	56	2602
24	59	2598
25	61	2594
26	63	2591
27	66	2589
28	68	2587
29	70	2583
30	73	2581
31	75	2577
32	77	2574
33	80	2576
34	82	2573
35	84	2573
36	87	2573
37	89	2571
38	92	2568
39	94	2568
40	96	2564
41	99	2562
42	101	2560
43	104	2557
44	106	2557
45	108	2553
46	109	2516
47	111	2514
48	114	2515
49	116	2513
50	119	2510
51	121	2508
52	122	2471
53	124	2468
54	126	2466
55	129	2467
56	131	2464
57	132	2442
58	134	2440
59	137	2439
60	139	2437
61	141	2436
62	142	2407
63	144	2405
64	147	2405
65	149	2403
66	152	2402
67	154	2402
68	156	2402
69	159	2400
70	161	2399
71	163	2398
72	166	2398
73	168	2399
74	171	2397
75	173	2395
76	175	2394
77	178	2391
78	180	2390
79	182	2388
80	184	2385
81	187	2386
82	189	2384
83	192	2382
84	194	2383
85	196	2381
86	199	2379
87	203	2402
88	207	2414
89	210	2424
90	212	2422
91	215	2421
92	217	2418
93	220	2417
94	222	2416
95	225	2414
96	227	2413
97	229	2411
98	232	2409
99	234	2407
100	236	2404
101	239	2402
102	241	2402
103	244	2399
104	246	2398
105	248	2395
106	251	2393
107	253	2392
108	256	2390
109	258	2388
110	261	2387
111	263	2384
112	265	2381
113	268	2380
114	270	2378
115	272	2374
116	275	2373
117	277	2370
118	279	2368
119	282	2366
120	284	2363
121	286	2361
122	289	2359
123	291	2356
124	293	2354
125	296	2351
126	298	2348
127	300	2345
128	303	2343
129	305	2340
130	308	2339
131	310	2337
132	312	2334
133	314	2331
134	317	2328
135	319	2325
136	321	2324
137	324	2320
138	326	2317
139	328	2314
140	330	2311
141	333	2308
142	335	2305
143	337	2302
144	339	2299
145	342	2297
146	344	2294
147	346	2292
148	349	2289
149	351	2286
150	353	2284
151	356	2281
152	358	2278
153	360	2275
